sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
46345406934,2024-07-27T07:28:00Z,76,,76,,46,71,0.15648854961832062
46326007585,2024-07-25T06:59:00Z,80,,80,,78,70,0.11803588290840415
46315100647,2024-07-24T07:22:30Z,67,,67,,66,71,0.19317073170731708
46187446938,2024-07-12T06:14:30Z,77,,77,,74,70,0.12040133779264214
46165630890,2024-07-10T06:42:30Z,72,,72,,56,70,0.12594187298170076
46112888618,2024-07-05T07:52:30Z,88,,88,,99,70,0.11876699909338169
46101727232,2024-07-04T07:05:30Z,83,,83,,73,69,0.08261287223823247
46092087077,2024-07-03T06:43:00Z,81,,81,,75,68,0.1179596174282678
46081056672,2024-07-02T06:46:00Z,83,,83,,87,67,0.08584905660377358
46026418441,2024-06-27T06:34:00Z,84,,84,,40,68,0.1027542372881356
46004581874,2024-06-25T05:49:30Z,68,,68,,47,70,0.1353811149032992
45953451688,2024-06-20T05:39:00Z,79,,79,,75,69,0.0832313341493268
45930184343,2024-06-18T06:56:30Z,81,,81,,83,69,0.10688836104513064
45919961441,2024-06-17T06:33:30Z,79,,79,,38,69,0.11004784688995216
45854647428,2024-06-11T06:29:00Z,80,,80,,67,70,0.1019522776572668
45823298040,2024-06-08T07:30:30Z,79,,79,,49,70,0.11740473738414006
45812340454,2024-06-07T06:34:00Z,81,,81,,58,70,0.09458023379383634
45790723989,2024-06-05T06:41:30Z,81,,81,,85,70,0.09090909090909091
45670012733,2024-05-25T07:41:00Z,82,,82,,68,65,0.12212389380530973
45659733197,2024-05-24T06:22:00Z,84,,84,,71,67,0.07734806629834254
45648767102,2024-05-23T06:35:30Z,78,,78,,99,69,0.11099691675231244
45626013852,2024-05-21T06:42:30Z,84,,84,,89,69,0.0997352162400706
45614560632,2024-05-20T06:39:30Z,78,,78,,68,69,0.10805084745762712
45606264813,2024-05-19T07:50:00Z,83,,83,,41,68,0.08256880733944955
45571048193,2024-05-16T06:34:00Z,84,,84,,84,70,0.07197382769901854
45560929955,2024-05-15T05:48:30Z,76,,76,,82,70,0.11700844390832328
45536192113,2024-05-13T06:30:00Z,55,,55,,32,67,0.14456391875746716
45483057781,2024-05-08T05:48:30Z,74,,74,,63,66,0.14743589743589744
45449537628,2024-05-05T08:16:00Z,66,,66,,57,65,0.119960668633235
45438179742,2024-05-04T08:04:00Z,88,,88,,71,67,0.0959023539668701
45427816485,2024-05-03T06:19:00Z,83,,83,,63,68,0.12642487046632125
45414872973,2024-05-02T06:28:30Z,77,,77,,51,68,0.09799789251844046
45406144975,2024-05-01T07:48:30Z,86,,86,,74,67,0.10205908683974933
45381791424,2024-04-29T06:39:30Z,78,,78,,47,66,0.08680555555555555
45372083011,2024-04-28T08:20:30Z,83,,83,,87,65,0.12313104661389622
45360842234,2024-04-27T08:14:00Z,88,,88,,82,65,0.10808510638297872
45340235412,2024-04-25T08:35:30Z,87,,87,,104,66,0.11266511266511267
45315767299,2024-04-23T05:48:00Z,82,,82,,75,66,0.10344827586206896
45293052730,2024-04-21T08:03:00Z,85,,85,,73,66,0.1070448307410796
45271464190,2024-04-19T06:43:30Z,84,,84,,91,67,0.09906152241918666
45259519620,2024-04-18T06:38:30Z,77,,77,,69,67,0.09523809523809523
45236174897,2024-04-16T06:45:00Z,84,,84,,84,66,0.09895833333333333
45224568626,2024-04-15T06:44:00Z,75,,75,,44,65,0.11041009463722397
45214220861,2024-04-14T08:22:00Z,77,,77,,83,64,0.10965630114566285
45203923813,2024-04-13T07:03:30Z,84,,84,,87,66,0.09990205680705191
45192042887,2024-04-12T06:31:30Z,81,,81,,67,68,0.10772578890097932
45181913769,2024-04-11T06:39:30Z,75,,75,,61,67,0.09277238403451996
45160254410,2024-04-09T06:41:30Z,82,,82,,71,66,0.0976116303219107
45127564763,2024-04-06T08:45:00Z,87,,87,,84,66,0.09879518072289156
45115915565,2024-04-05T06:44:00Z,84,,84,,62,66,0.08415841584158416
45104889246,2024-04-04T05:45:00Z,80,,80,,58,66,0.06853932584269663
45092902828,2024-04-03T06:04:30Z,77,,77,,48,66,0.08258928571428571
45080738053,2024-04-02T06:05:30Z,66,,66,,57,66,0.11600429645542427
45060225232,2024-03-31T09:39:00Z,88,,88,,65,67,0.08731466227347612
45047791825,2024-03-30T08:19:30Z,83,,83,,93,67,0.08597662771285476
45037080356,2024-03-29T08:03:30Z,85,,85,,101,69,0.08246445497630332
45024574480,2024-03-28T08:00:00Z,80,,80,,58,70,0.07377049180327869
45012465590,2024-03-27T07:30:00Z,66,,66,,45,67,0.0912751677852349
45000820706,2024-03-26T07:49:30Z,76,,76,,61,67,0.09257375381485249
44987866520,2024-03-25T07:25:30Z,78,,78,,66,66,0.10820559062218214
44974158512,2024-03-24T05:50:30Z,77,,77,,56,64,0.07076923076923076
44953943120,2024-03-22T05:56:00Z,83,,83,,89,65,0.09009009009009009
44940388014,2024-03-21T05:59:00Z,81,,81,,71,65,0.06803455723542116
44929404545,2024-03-20T05:51:00Z,82,,82,,73,67,0.09307604994324631
44917830762,2024-03-19T05:53:00Z,81,,81,,50,66,0.08574277168494517
44905169663,2024-03-18T06:02:00Z,75,,75,,77,65,0.12192393736017897
44894676495,2024-03-17T07:41:30Z,84,,84,,83,64,0.0881057268722467
44872563213,2024-03-15T06:32:30Z,90,,90,,92,65,0.0933589990375361
44860030436,2024-03-14T06:32:30Z,84,,84,,64,65,0.09766022380467955
44850308291,2024-03-13T05:56:00Z,87,,87,,53,67,0.05506607929515418
44839146859,2024-03-12T05:42:00Z,82,,82,,60,66,0.08508158508158509
44827064186,2024-03-11T06:30:00Z,80,,80,,40,67,0.09329140461215933
44814502492,2024-03-10T07:41:00Z,86,,86,,53,67,0.07130434782608695
44803259803,2024-03-09T07:56:00Z,84,,84,,97,66,0.08877721943048576
44792469111,2024-03-08T06:24:30Z,85,,85,,66,65,0.08402489626556017
44786920597,2024-03-06T05:58:30Z,81,,81,,56,66,0.07761529808773904
44759010272,2024-03-05T06:39:30Z,86,,86,,67,67,0.06506506506506507
44747215379,2024-03-04T06:42:00Z,83,,83,,64,67,0.08393782383419689
44735471671,2024-03-03T08:17:00Z,83,,83,,90,66,0.09035621198957429
44701787450,2024-02-29T06:43:00Z,88,,88,,86,65,0.08040665434380777
44690844507,2024-02-28T06:46:00Z,84,,84,,79,64,0.07715430861723446
44679391670,2024-02-27T06:45:00Z,86,,86,,94,65,0.07684630738522955
44669806991,2024-02-26T06:48:30Z,78,,78,,75,65,0.14918190567853706
44658375336,2024-02-25T08:35:30Z,81,,81,,51,62,0.08356039963669391
44647982215,2024-02-24T08:23:00Z,90,,90,,80,62,0.07304347826086957
44633525115,2024-02-23T06:42:00Z,80,,80,,52,63,0.10492505353319058
44624154698,2024-02-22T06:39:30Z,75,,75,,36,62,0.1251193887297039
44612173301,2024-02-21T06:42:00Z,83,,83,,34,63,0.0738581146744412
44600040469,2024-02-20T06:25:30Z,80,,80,,82,63,0.08915145005370569
44586808568,2024-02-19T06:39:30Z,81,,81,,56,62,0.08190091001011122
44577220609,2024-02-18T08:12:00Z,83,,83,,74,62,0.09871589085072231
44565420231,2024-02-17T08:19:00Z,90,,90,,90,65,0.06794564348521183
44554447251,2024-02-16T06:38:30Z,90,,90,,76,65,0.06660231660231661
44541478998,2024-02-15T06:41:30Z,81,,81,,74,65,0.09073170731707317
44527678694,2024-02-14T05:37:30Z,77,,77,,25,65,0.13843774168600154
44518301705,2024-02-13T04:57:30Z,65,,65,,60,64,0.11874272409778813
44507538265,2024-02-12T06:11:30Z,82,,82,,18,64,0.06625891946992865
44496661547,2024-02-11T07:38:00Z,82,,82,,71,63,0.06333973128598848
44484410055,2024-02-10T07:45:00Z,82,,82,,68,62,0.09847198641765705
44473697519,2024-02-09T06:46:00Z,84,,84,,76,62,0.07093596059113301
44460677338,2024-02-08T06:34:00Z,85,,85,,55,62,0.08659450457951708
44448447419,2024-02-07T06:38:00Z,84,,84,,65,64,0.06948356807511737
44438584228,2024-02-06T06:38:30Z,77,,77,,75,66,0.10237849017580145
44427619977,2024-02-05T06:41:00Z,82,,82,,55,66,0.05946481665014866
44416248413,2024-02-04T08:25:30Z,76,,76,,93,63,0.1236603462489695
44402393909,2024-02-03T08:08:00Z,88,,88,,91,65,0.09950248756218906
44382329409,2024-02-01T06:41:30Z,75,,75,,95,63,0.1049618320610687
44358425713,2024-01-30T06:37:30Z,81,,81,,60,64,0.09542356377799416
44343142166,2024-01-29T06:50:30Z,66,,66,,59,63,0.11356466876971609
44331928197,2024-01-28T08:04:00Z,83,,83,,77,62,0.0847018150388937
44321284967,2024-01-27T08:31:30Z,87,,87,,100,63,0.08327024981074943
44308896853,2024-01-26T03:20:30Z,74,,74,,47,65,0.04326123128119801
44297864639,2024-01-25T06:39:00Z,85,,85,,45,67,0.06331658291457286
44274554356,2024-01-23T06:43:30Z,83,,83,,65,68,0.06610009442870633
44261108715,2024-01-22T07:47:00Z,84,,84,,69,68,0.059252506836827715
44250043356,2024-01-21T08:31:00Z,88,,88,,89,68,0.09707112970711297
